,Date,PM,Latitude,Longitude,Dataset,Site Location #
136,6/15/17,5.5,36.78538,-119.77321,Monitoring Stations,1
137,6/16/17,8,36.78538,-119.77321,Monitoring Stations,1
138,6/17/17,8.7,36.78538,-119.77321,Monitoring Stations,1
139,6/18/17,8.3,36.78538,-119.77321,Monitoring Stations,1
140,6/19/17,9.4,36.78538,-119.77321,Monitoring Stations,1
141,6/20/17,10.5,36.78538,-119.77321,Monitoring Stations,1
142,6/21/17,12.3,36.78538,-119.77321,Monitoring Stations,1
143,6/22/17,11.9,36.78538,-119.77321,Monitoring Stations,1
144,6/23/17,12.5,36.78538,-119.77321,Monitoring Stations,1
145,6/24/17,11.3,36.78538,-119.77321,Monitoring Stations,1
146,6/25/17,9.2,36.78538,-119.77321,Monitoring Stations,1
147,6/27/17,5.1,36.78538,-119.77321,Monitoring Stations,1
148,6/30/17,8.9,36.78538,-119.77321,Monitoring Stations,1
149,7/1/17,8.8,36.78538,-119.77321,Monitoring Stations,1
150,7/2/17,9.5,36.78538,-119.77321,Monitoring Stations,1
151,7/3/17,10,36.78538,-119.77321,Monitoring Stations,1
152,7/4/17,22,36.78538,-119.77321,Monitoring Stations,1
153,7/5/17,10.8,36.78538,-119.77321,Monitoring Stations,1
154,7/6/17,7.5,36.78538,-119.77321,Monitoring Stations,1
155,7/7/17,8.9,36.78538,-119.77321,Monitoring Stations,1
156,7/8/17,9,36.78538,-119.77321,Monitoring Stations,1
157,7/9/17,11.2,36.78538,-119.77321,Monitoring Stations,1
158,7/10/17,11.4,36.78538,-119.77321,Monitoring Stations,1
159,7/11/17,8,36.78538,-119.77321,Monitoring Stations,1
160,7/12/17,9.5,36.78538,-119.77321,Monitoring Stations,1
161,7/13/17,12.4,36.78538,-119.77321,Monitoring Stations,1
162,7/14/17,12.4,36.78538,-119.77321,Monitoring Stations,1
163,7/15/17,10.4,36.78538,-119.77321,Monitoring Stations,1
164,7/16/17,10.4,36.78538,-119.77321,Monitoring Stations,1
165,7/17/17,11.3,36.78538,-119.77321,Monitoring Stations,1
166,7/18/17,10.5,36.78538,-119.77321,Monitoring Stations,1
167,7/19/17,12.5,36.78538,-119.77321,Monitoring Stations,1
168,7/20/17,8.5,36.78538,-119.77321,Monitoring Stations,1
169,7/21/17,7.6,36.78538,-119.77321,Monitoring Stations,1
170,7/22/17,10.3,36.78538,-119.77321,Monitoring Stations,1
171,7/23/17,12.7,36.78538,-119.77321,Monitoring Stations,1
172,7/24/17,9,36.78538,-119.77321,Monitoring Stations,1
173,7/25/17,8.7,36.78538,-119.77321,Monitoring Stations,1
174,7/26/17,8.5,36.78538,-119.77321,Monitoring Stations,1
175,7/27/17,9.2,36.78538,-119.77321,Monitoring Stations,1
176,7/29/17,9,36.78538,-119.77321,Monitoring Stations,1
177,7/30/17,8.7,36.78538,-119.77321,Monitoring Stations,1
178,8/1/17,10.5,36.78538,-119.77321,Monitoring Stations,1
179,8/2/17,15.8,36.78538,-119.77321,Monitoring Stations,1
180,8/3/17,12.8,36.78538,-119.77321,Monitoring Stations,1
181,8/4/17,10.7,36.78538,-119.77321,Monitoring Stations,1
182,8/5/17,14,36.78538,-119.77321,Monitoring Stations,1
183,8/6/17,9.2,36.78538,-119.77321,Monitoring Stations,1
184,8/7/17,11.4,36.78538,-119.77321,Monitoring Stations,1
185,8/8/17,13.8,36.78538,-119.77321,Monitoring Stations,1
186,8/10/17,16.7,36.78538,-119.77321,Monitoring Stations,1
187,8/11/17,14.6,36.78538,-119.77321,Monitoring Stations,1
188,8/12/17,14,36.78538,-119.77321,Monitoring Stations,1
189,8/13/17,8.2,36.78538,-119.77321,Monitoring Stations,1
190,8/14/17,5,36.78538,-119.77321,Monitoring Stations,1
191,8/15/17,10.9,36.78538,-119.77321,Monitoring Stations,1
192,8/16/17,12.2,36.78538,-119.77321,Monitoring Stations,1
193,8/17/17,15.1,36.78538,-119.77321,Monitoring Stations,1
194,8/18/17,14.9,36.78538,-119.77321,Monitoring Stations,1
195,8/19/17,19,36.78538,-119.77321,Monitoring Stations,1
196,8/20/17,19.2,36.78538,-119.77321,Monitoring Stations,1
197,8/21/17,15.3,36.78538,-119.77321,Monitoring Stations,1
198,8/22/17,12.5,36.78538,-119.77321,Monitoring Stations,1
199,8/23/17,16.7,36.78538,-119.77321,Monitoring Stations,1
200,8/24/17,17.7,36.78538,-119.77321,Monitoring Stations,1
201,8/25/17,12,36.78538,-119.77321,Monitoring Stations,1
202,8/26/17,16.8,36.78538,-119.77321,Monitoring Stations,1
203,8/27/17,15.5,36.78538,-119.77321,Monitoring Stations,1
204,8/28/17,17,36.78538,-119.77321,Monitoring Stations,1
205,8/29/17,15.5,36.78538,-119.77321,Monitoring Stations,1
206,8/30/17,10.8,36.78538,-119.77321,Monitoring Stations,1
207,8/31/17,13.7,36.78538,-119.77321,Monitoring Stations,1
208,9/1/17,25.5,36.78538,-119.77321,Monitoring Stations,1
209,9/2/17,33,36.78538,-119.77321,Monitoring Stations,1
210,9/3/17,35.2,36.78538,-119.77321,Monitoring Stations,1
211,9/4/17,19.5,36.78538,-119.77321,Monitoring Stations,1
212,9/5/17,16.4,36.78538,-119.77321,Monitoring Stations,1
213,9/6/17,12.8,36.78538,-119.77321,Monitoring Stations,1
214,9/7/17,12.9,36.78538,-119.77321,Monitoring Stations,1
215,9/8/17,14.2,36.78538,-119.77321,Monitoring Stations,1
216,9/9/17,13.8,36.78538,-119.77321,Monitoring Stations,1
217,9/10/17,15.4,36.78538,-119.77321,Monitoring Stations,1
218,9/11/17,17.1,36.78538,-119.77321,Monitoring Stations,1
219,9/12/17,16.8,36.78538,-119.77321,Monitoring Stations,1
220,9/13/17,7.5,36.78538,-119.77321,Monitoring Stations,1
221,9/14/17,7.4,36.78538,-119.77321,Monitoring Stations,1
222,9/15/17,8.8,36.78538,-119.77321,Monitoring Stations,1
223,9/16/17,11.9,36.78538,-119.77321,Monitoring Stations,1
224,9/17/17,16.1,36.78538,-119.77321,Monitoring Stations,1
225,9/18/17,9.6,36.78538,-119.77321,Monitoring Stations,1
226,9/19/17,6.4,36.78538,-119.77321,Monitoring Stations,1
227,9/20/17,5.5,36.78538,-119.77321,Monitoring Stations,1
228,9/21/17,3.7,36.78538,-119.77321,Monitoring Stations,1
